week_start_date,category_group,token,count,token_rank
2025-12-22,스킨케어,60매,17,1
2025-12-22,스킨케어,70매,15,2
2025-12-22,스킨케어,진정,13,3
2025-12-22,스킨케어,토너,9,4
2025-12-22,스킨케어,시카,8,5
2025-12-22,스킨케어,카밍,8,6
2025-12-22,스킨케어,80매,6,7
2025-12-22,스킨케어,ac,4,8
2025-12-22,스킨케어,흔적,4,9
2025-12-22,스킨케어,더블,4,10
2025-12-22,스킨케어,100매,4,11
2025-12-22,스킨케어,그린,4,12
2025-12-22,스킨케어,어성초,4,13
2025-12-22,스킨케어,쿨링,4,14
2025-12-22,스킨케어,트러블,4,15
2025-12-22,스킨케어,앰플패드,3,16
2025-12-22,스킨케어,워터,3,17
2025-12-22,스킨케어,클리어,3,18
2025-12-22,스킨케어,터치,3,19
2025-12-22,스킨케어,스킨푸드,3,20
