week_start_date,query,page_rank,rank_bucket,product_name,brand,maker,price,category1,category2,category3,category_for_group,link
2025-12-22,,87,Top100,Le meill 르메이엘 글로우 앤 모이스처 앰플패드,르메이엘,더미스,61500,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/10036756190
2025-12-22,,67,Top100,AC 딥 흔적 진정 잡티 패드 80매,듀이트리,씨앤에프,15900,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/10137612109
2025-12-22,,61,Top100,AC 딥 진정 모공 패드 60매,듀이트리,제닉,15900,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/7098429852
2025-12-22,,1,Top10,한율 어린쑥 수분진정 패드 60매,한율,아모레퍼시픽,15480,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929260409
2025-12-22,,100,Top100,픽 앤 퀵 화장발 뜯어쓰는 더블 패드 100매,듀이트리,씨앤에프,15900,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/9166388968
2025-12-22,,85,Top100,토리든 밸런스풀 시카 토너 패드 60매,토리든,이미인,12600,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929296053
2025-12-22,,66,Top100,키노닉스 양배추 카밍 진정 토너 패드 70매,키노닉스,더마밀,19800,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929257054
2025-12-22,,36,Top50,클레어스 프레쉴리 쥬스드 비타민 화잘먹 패드 80매,클레어스,씨앤에프,18500,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/55209152632
2025-12-22,,70,Top100,코스알엑스 원스텝 그린 카밍 토너 진정 패드 70매,코스알엑스,코스알엑스,12950,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/3555764328
2025-12-22,,79,Top100,캄프 풋귤 플루이드 카밍 앰플패드 70매,캄프,대한뷰티산업진흥원,17100,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/56863574886
2025-12-22,,99,Top100,일소 어성초 텐더좀 더블 진정 패드 60매,일소,,18800,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929302598
2025-12-22,,88,Top100,오휘 미라클 토닝 워터 패드 70매,오휘,엘지생활건강,22750,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929488937
2025-12-22,,64,Top100,에스트라 에이시카365 쿨링진정패드 pH4.5 110ml(60매) x,에스트라,코스비전,22400,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/8157711681
2025-12-22,,12,Top20,에스트라 에이시카 365 소프트 진정 팩 패드 60매,에스트라,코스비전,17990,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929034265
2025-12-22,,59,Top100,어성초 흔적 에센스 패드 클리어 터치 70매,아비브,코스맥스,17600,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/6752153473
2025-12-22,,8,Top10,아비브 어성초 스팟 패드 카밍 터치 80매,아비브,코스맥스,10400,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929206645
2025-12-22,,44,Top50,아비브 수분초 히알루론 패드 하이드레이팅 터치 75매,아비브,코스맥스,12190,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929257602
2025-12-22,,78,Top100,아드망 마린 켈프 아쿠아 모이스처 패드 60매,아드망,한국콜마,18990,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929477817
2025-12-22,,35,Top50,아누아 어성초 77 클리어 패드 70매 올리브영 닦토 모공토너,아누아,엔코스,13900,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/6854175247
2025-12-22,,39,Top50,"스킨푸드 판토테닉 워터 파슬리 클리어 패드 60매(민감성, 복합성, 지성)",스킨푸드,아이피어리스,9900,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929186662
2025-12-22,,2,Top10,스킨푸드 캐롯 카로틴 카밍 워터 패드 60매,스킨푸드,아이피어리스,11060,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929295854
2025-12-22,,45,Top50,스킨푸드 감자 마데카소사이드 수딩 패드 60매,스킨푸드,아이피어리스,15300,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929268241
2025-12-22,,37,Top50,스킨1004 마다가스카르 센텔라 퀵 카밍 패드 70매,스킨1004,,13490,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929013511
2025-12-22,,28,Top50,셀퓨전씨 포스트알파 퍼스트 쿨링 패드 70매,셀퓨전씨,한국콜마,13500,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929302671
2025-12-22,,93,Top100,셀퓨전씨 포스트알파 시카 쿨링 패드 70매,셀퓨전씨,한국콜마,11480,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929225868
2025-12-22,,27,Top50,셀리맥스 시카 지우개 패드 60매(민감성),셀리맥스,코스메카코리아,15960,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929590799
2025-12-22,,22,Top50,센텔리안24 마데카 더블 타이트닝 앰플 패드 60매,센텔리안24,한국콜마,11700,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929146734
2025-12-22,,82,Top100,비플레인 시카테롤 블레미쉬 패드 70매,비플레인,코스메카코리아,12900,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929227689
2025-12-22,,86,Top100,비건이펙트 클린 앤 글로우 청보리 퍼스트 라하 토너 패드 60매,비건이펙트,ANCORS,20980,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929183908
2025-12-22,,23,Top50,브링그린 티트리 시카 트러블 수딩 토너 패드 90매,브링그린,씨앤에프,9300,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929309313
2025-12-22,,3,Top10,벤튼 구아바 70 스킨 토너 진정 패드 팩 70매,벤튼,벤튼,16750,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929186953
2025-12-22,,50,Top50,메이크프렘 인테카 트러블 수딩 패드 70매,메이크프렘,한국씨엔에프,16600,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929212620
2025-12-22,,25,Top50,메디힐 티트리 트러블 패드 100매,메디힐,한국콜마,14700,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929544037
2025-12-22,,41,Top50,마몽드 포어 슈링커 바쿠치올 패드 70매,마몽드,,10800,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929260432
2025-12-22,,47,Top50,리바이포유 7초 앰플 패드 붙이는앰플 즉각수분진정 토너패드 병풀 Rbfy 60매,리바이포유,,36200,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/12349221117
2025-12-22,,81,Top100,리더스 쿨링 진정 패드 80매,리더스,리더스,12600,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/52595170423
2025-12-22,,19,Top20,라운드랩 자작나무 수분 패드 80매,라운드랩,씨앤에프,14500,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929051204
2025-12-22,,29,Top50,라운드랩 소나무 진정 시카 패드 50매,라운드랩,이미인,16490,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929181272
